이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,운영시간,x,y,커버수요수,최근접집계구_m,선정
CU,편의점,1.0,1.0,없음(이미 24시간),129.0410739,35.1161452,,386075.6603609618,281887.2179970036,0,186.70322919198557,False
수남문화센터,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.0517054,35.1271132,,387019.943444301,283124.22905023466,0,476.95967243402094,False
S-Oil,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.0386877,35.1124467,,385866.4931990915,281472.3502067053,2,73.14911775197585,False
수정4동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0407616,35.1271177,,386022.2244398646,283104.21740272583,0,319.40625845666597,False
영주2동 주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.0318267,35.1115883,,385242.8321777347,281364.30908270576,0,449.56168474653776,False
영주동 파출소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.032193,35.11194,24/7,385275.43623503007,281404.0175893875,0,399.5955372709525,False
초량 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.043211,35.1198878,,386261.9951197761,282306.5191179704,0,46.116655210269855,False
부두 119 안전센터,소방서·안전센터,1.0,1.0,없음(24시간 상주),129.0522271,35.1256586,,387070.833113312,282963.7967709944,0,605.98215770225,False
초량 2 치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0396707,35.1201977,24/7,385938.5052978651,282334.2886011703,0,89.49173889007507,False
초량 지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.0375918,35.1179127,24/7,385754.15298067406,282076.8482800448,2,34.073637820223965,False
