이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,출처
GS25 동의대상대점,편의점,1.0,1.0,없음(이미 24시간),129.03311657114446,35.139581300272525,kakao
미미쿡마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.057859148003,35.1331977770465,kakao
성남슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.055493012001,35.1328937023604,kakao
우체국365코너,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.055278401031,35.1355711033388,kakao
수정노인재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05565076827,35.1327982053582,kakao
사랑채주간보호센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05431103407,35.133876197532,kakao
좌일경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05396183304,35.1360449177704,kakao
좌천역 부산1호선,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.054455383044,35.1343820073548,kakao
증산경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.052603375342,35.1394383049272,kakao
지혜실버홈,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.054805907592,35.138027586552,kakao
수성지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.043553981456,35.1348403515361,kakao
범일1동청년회방범초소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.053908662712,35.1388187068904,kakao
펫마트 범일점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.056940369525,35.1389718287795,kakao
산청마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.055859393446,35.1390875056099,kakao
미화당슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.055535052109,35.136659862807,kakao
행복노인복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.055989791608,35.1389942746952,kakao
동구케어 노인주간보호센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.056942795817,35.1373244574734,kakao
범일1동널박경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.055403209749,35.1399675751233,kakao
한성기린프라자아파트 경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.056936255219,35.1389827126254,kakao
좌천파출소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.056005354933,35.1372142088199,kakao
GS25 한성기린점,편의점,1.0,1.0,없음(이미 24시간),129.05682782064088,35.13938196766054,kakao
태양수퍼마켙,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.053333592288,35.1372378982922,kakao
문화슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.05354886214351,35.13694227134682,kakao
럭키 수퍼마켓,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.051334177345,35.1397481780359,kakao
근대화수퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0480076474,35.1392133003843,kakao
범일할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.049633945557,35.1397129760311,kakao
대양씨앤씨직영주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.057280755272,35.131050209587,kakao
GS더프레시 부산하버시티점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.05673724759,35.1325121179664,kakao
GS25 동부점,편의점,1.0,1.0,없음(이미 24시간),129.054273190458,35.135513357144,kakao
동행복권판매점 동원드림마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.05134891246405,35.13255391550306,kakao
CU 부산항일동점,편의점,1.0,1.0,없음(이미 24시간),129.05249367492632,35.13174870809546,kakao
두리마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0481652344811,35.13271772605299,kakao
세미마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.045777668921,35.1353254964103,kakao
서원할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.044444937635,35.1350235754349,kakao
부산수정5동 우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.044317047447,35.1351735252957,kakao
수호천사재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0460280574756,35.13494187597877,kakao
금오재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.045447212436,35.1306675314776,kakao
효노인재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.046056026707,35.1328597057734,kakao
박가네재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.046162584839,35.1348819290338,kakao
다복재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0440887752214,35.134818712408425,kakao
간호박사종합재가센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04472588003773,35.13064185931566,kakao
큰사랑재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04275913904797,35.1338498556296,kakao
능풍장부녀경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04724612881,35.1321105548376,kakao
수정부녀경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.044859009114,35.1322806400229,kakao
수오부녀경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.04124875901238,35.134427731535354,kakao
GS25 좌천아이유점,편의점,1.0,1.0,없음(이미 24시간),129.053899416447,35.1326873291088,kakao
홈플러스익스프레스 좌천점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.048613064155,35.1309772083417,kakao
범일5동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.053810360658,35.1305395563396,kakao
대구슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.050301947288,35.1314857328719,kakao
세진슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.04973871958967,35.13601641974894,kakao
거제슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.053056263344,35.1342327033418,kakao
금성슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.051411791199,35.1354969629335,kakao
진주슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.0539550061304,35.13110123447137,kakao
진주상회,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.049886579116,35.134782022478,kakao
동원드림마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.05140014251,35.1325845888971,kakao
그린할인마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.049358602615,35.1330625167614,kakao
좌천동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.04912604308345,35.131399290783705,kakao
좌천동방범초소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.04909347379,35.1308438212155,kakao
무인민원발급창구 좌천동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.049154325939,35.1313898007107,kakao
누림재가복지센터,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.05056000545224,35.13149668497798,kakao
쉼터경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.0499409222516,35.13143687122799,kakao
SK행복충전 개인택시남부LPG충전소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.054707162885,35.1306072567522,kakao
구도일주유소 부산진,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.05179875162932,35.131245913417985,kakao
부산초량6동 우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.03509327902,35.1259999151113,kakao
열쇠마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.04502862328977,35.128009842463364,kakao
정화경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.034214533474,35.1261264179193,kakao
부산역 부산1호선,도시철도역,0.4,0.7,역사 외부 개방구역에 설치,129.039344263316,35.1145412381182,kakao
역전치안센터,파출소·지구대,1.0,1.0,없음(24시간 상주),129.04096397375463,35.11563412303635,kakao
초량2동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.03846575212268,35.116520574904854,kakao
초량지구대,파출소·지구대,1.0,1.0,없음(24시간 상주),129.037478596119,35.1178384701824,kakao
초량1동행정복지센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.036978077137,35.1139466133302,kakao
탑마트 초량점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.039433417367,35.1167097586783,kakao
CU M부산역점,편의점,1.0,1.0,없음(이미 24시간),129.03959575376453,35.114994800343716,kakao
SM24,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.038936678549,35.116141368716,kakao
스토리웨이 부산역점,편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.04121673688385,35.11477555490836,kakao
"부산5,6홈타는곳 직영편의점",편의점,0.4,0.9,운영시간 확인 후 야간 개방 협의,129.041394210706,35.1150753586842,kakao
GS25 발리아쿠아랜드점,편의점,1.0,1.0,없음(이미 24시간),129.037984425918,35.1155139520441,kakao
GS25 부산은성점,편의점,1.0,1.0,없음(이미 24시간),129.039263327724,35.1118661196919,kakao
CU 부산역BRT점,편의점,1.0,1.0,없음(이미 24시간),129.039847621707,35.1160791757219,kakao
이마트24 초량상해점,편의점,1.0,1.0,없음(이미 24시간),129.03802333449087,35.113729878347776,kakao
CU 리마크빌부산역점,편의점,1.0,1.0,없음(이미 24시간),129.038582080123,35.113882690409,kakao
삼현석유 천일주유소,주유소,0.4,0.8,야간 무인 구역에 함체 설치,129.03875916869,35.11236303849652,kakao
초일경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.034635942929,35.1171400669986,kakao
