TOT_OA_CD,dong,p75_2026,risk_norm,구급차도달_분,elev,커버_기존야간,커버_통합야간,신규커버_획득
21030700010015,좌천동,84.77880468268637,0.3330329247095135,5.15,27.0,False,False,False
21030700010007,좌천동,106.49044978434996,0.7341705643318174,6.97,98.0,True,True,False
21030700010016,좌천동,54.79605668515095,0.16145081112408577,3.72,20.0,False,True,True
21030700010014,좌천동,73.4060382008626,0.12947990943108817,4.16,8.0,False,True,True
21030700010012,좌천동,81.67714109673443,0.6653917056592945,5.510000000000001,23.0,False,False,False
21030700010002,좌천동,114.7615526802218,0.7646915951092909,6.83,17.0,True,True,False
21030700010005,좌천동,86.84658040665434,0.24549881903347726,6.449999999999999,22.0,False,True,True
21030700010008,좌천동,75.47381392483055,0.2652310956161014,3.53,21.0,False,False,False
21030700010301,좌천동,26.881084411583487,0.1852390605971899,14.610000000000001,72.0,False,True,True
21030700010402,좌천동,36.186075169439306,0.30748980523106395,4.8,21.0,True,True,False
21030700010401,좌천동,49.62661737523105,0.15574859834142626,7.58,7.0,False,True,True
21030700020002,좌천동,56.86383240911891,0.380146452801776,4.33,8.0,True,True,False
21030700020201,좌천동,7.237215033887861,0.05260280738881286,5.37,8.0,True,True,False
21030700020101,좌천동,28.948860135551445,0.16997604374562972,5.0200000000000005,8.0,True,True,False
