TOT_OA_CD,ADM_CD,dong,oa_area_m2,cx,cy,entry_node,dist_station_m,p65,p75,p80,p75_2026,f_age,f_reach,risk,risk_norm,lon,lat
21030520010006,21030520,초량2동,18808.975788747273,385727.33696094697,282097.86624460004,436867745,709.1715840064795,143.0,59.0,28.0,73.53044654939107,0.3000784032466258,0.18097590328226518,0.05430696008305792,0.34276367009313674,129.037303,35.118107
21030520010007,21030520,초량2동,32364.843105246113,385465.3746406172,282077.1999242185,1771195687,1086.9338934869209,228.0,104.0,61.0,129.6129905277402,0.5289517616550693,0.27737834907399167,0.14671976638766265,0.9260361015480937,129.034426,35.117969
21030520010004,21030520,초량2동,25510.360043763772,385799.9572431886,282266.8152694195,1478526230,593.7415725028708,141.0,51.0,24.0,63.560216508795676,0.2593898061962359,0.1515189269046598,0.03930246508486134,0.248061337913059,129.038137,35.119615
21030520010005,21030520,초량2동,93759.24816921639,385148.52383346064,282017.9466782893,7142059028,1261.8944902057551,143.0,61.0,31.0,76.02300405953993,0.31025055250922334,0.322027137525315,0.09990909734019263,0.6305860027451676,129.030939,35.117494
21030520010002,21030520,초량2동,29330.12940945395,385880.59772383346,281838.61161513114,1771191353,635.9652867092545,87.0,29.0,14.0,36.14208389715832,0.14749616430766355,0.1622941398302283,0.023937763114570278,0.15108552433097663,129.038925,35.115743
21030520010003,21030520,초량2동,25321.3684698989,385667.961368515,282237.3207528588,1771195593,743.0516191178775,208.0,98.0,47.0,122.13531799729365,0.49843531386727685,0.1896218644231223,0.09451423350983718,0.5965357940183817,129.036683,35.119374
21030520010001,21030520,초량2동,21663.91916930169,385408.5766502313,282171.49923390115,1771195649,958.0145852016273,183.0,76.0,48.0,94.7171853856563,0.3865416719787044,0.24447899327120384,0.09450131882272156,0.596454281712278,129.033824,35.118829
21030520010201,21030520,초량2동,8307.913077539897,385316.2717168506,281977.22291828983,436840187,1261.7826178549565,85.0,31.0,15.0,38.63464140730717,0.157668313570261,0.32199858844044654,0.05076897441140975,0.32043332879440917,129.032769,35.117096
21030520010601,21030520,초량2동,14153.89142393085,385223.26618831797,282110.005986275,1769313325,1155.7895403206621,139.0,51.0,22.0,63.560216508795676,0.2593898061962359,0.29494985526917944,0.07650698579588029,0.4828812954923696,129.031779,35.118309
21030530010001,21030530,초량3동,1422613.6029451513,386567.94280502875,281913.8809756363,12511792999,1068.7448769696919,59.0,6.0,0.0,4.852226720647773,0.019801980198019802,0.27273663221976496,0.0054007253904903955,0.03408720453471276,129.046477,35.116295
21030530010002,21030530,초량3동,113933.68727543161,386268.55927340157,282352.1643027034,436822812,0.0,26.0,5.0,0.0,4.043522267206478,0.0165016501650165,0.0,0.0,0.0,129.043293,35.120298
21030530010201,21030530,초량3동,4695.626141347446,386331.60752696637,282465.6714511964,436822818,223.88998407989487,26.0,0.0,0.0,0.0,0.0,0.05713524486669327,0.0,0.0,129.04401,35.121309
21030530010401,21030530,초량3동,4872.499030275056,386426.361716249,282577.6933203928,254615460,456.48266658650874,94.0,26.0,7.0,21.026315789473685,0.0858085808580858,0.11649136087978913,0.009995958359321839,0.06309046516503888,129.045074,35.1223
21030530010501,21030530,초량3동,3946.463389052373,386384.7845292754,282466.5297661682,1771266131,279.8800292412669,112.0,38.0,18.0,30.730769230769234,0.1254125412541254,0.07142353450831763,0.008957406968039835,0.056535546865216633,129.044593,35.121306
21030530010601,21030530,초량3동,4242.703104107192,386461.2563855255,282668.7821876328,1771266165,410.66193460536425,53.0,15.0,7.0,12.130566801619434,0.0495049504950495,0.1047982127808568,0.00518803033568598,0.032744758971861854,129.045477,35.123114
21030530010901,21030530,초량3동,5586.059030474815,386495.4876448463,282773.6253413688,436822820,609.8748468525366,137.0,39.0,24.0,31.539473684210527,0.12871287128712872,0.15563603193844622,0.020032360546532683,0.1264361954905406,129.045876,35.124052
