집계구코드,행정동,75세이상인구_2026,안전센터_도로거리_m,하차후_도보거리_m,하차후_표고차_m,t1_출동_분,t2_접근_들것_분,t3_이송_분,총_도달시간_분,평지기준_도달시간_분,지연_분,지연_t1_분,지연_t2_분,지연_t3_분,위험도_거리기준,위험도_시간기준
21030530020004,초량3동,37.2,325.0,24.4,2.2,2.66,1.13,11.2,18.99,18.26,0.73,0.04,0.17,0.53,0.079,0.063
21030530010501,초량3동,30.7,280.0,25.1,1.0,2.83,1.01,12.32,20.15,19.52,0.63,0.0,0.01,0.62,0.057,0.06
21030530010401,초량3동,21.0,456.0,23.0,0.8,3.03,0.92,12.66,20.61,19.95,0.66,0.03,0.01,0.62,0.063,0.047
21030510010008,초량1동,13.4,984.0,36.4,-0.7,3.82,1.45,8.29,17.56,17.02,0.54,0.11,0.0,0.43,0.087,0.045
21030530020402,초량3동,8.9,770.0,49.8,-2.8,4.98,2.06,12.89,23.93,22.84,1.1,0.26,0.08,0.75,0.045,0.045
21030530020101,초량3동,36.4,209.0,28.8,-1.2,2.26,1.16,11.07,18.49,17.83,0.66,0.09,0.01,0.56,0.05,0.041
21030530020501,초량3동,10.5,571.0,25.6,0.5,3.88,1.02,12.5,21.4,20.75,0.65,0.18,0.0,0.47,0.039,0.036
21030530020503,초량3동,9.7,806.0,23.1,-1.1,3.95,0.93,12.65,21.52,20.77,0.75,0.19,0.01,0.55,0.051,0.035
21030530020502,초량3동,9.7,764.0,38.7,1.3,3.88,1.55,12.5,21.93,21.27,0.66,0.18,0.01,0.47,0.049,0.034
21030700020201,좌천동,7.2,1106.0,20.3,0.1,4.6,0.8,13.98,23.39,22.4,0.98,0.08,0.0,0.9,0.053,0.033
21030530020005,초량3동,17.8,651.0,14.9,0.2,2.75,0.59,11.87,19.21,18.61,0.61,0.07,0.0,0.53,0.076,0.032
21030530010601,초량3동,12.1,411.0,20.3,0.3,3.29,0.81,12.97,21.07,20.37,0.69,0.04,0.0,0.65,0.033,0.032
21030530020103,초량3동,10.5,493.0,35.3,-1.8,2.95,1.43,11.81,20.19,19.47,0.72,0.09,0.02,0.61,0.034,0.022
21030530020102,초량3동,17.0,348.0,34.2,-1.8,2.26,1.4,11.07,18.73,18.04,0.69,0.09,0.04,0.56,0.039,0.019
21030530010001,초량3동,4.9,1069.0,4.4,-0.0,4.15,0.2,12.13,20.47,19.88,0.59,0.02,0.0,0.57,0.034,0.019
21030530010201,초량3동,0.0,224.0,19.6,1.6,2.55,0.88,12.02,19.46,18.74,0.71,0.0,0.1,0.61,0.0,0.0
21030530010002,초량3동,4.0,0.0,4.6,-0.6,1.5,0.26,10.9,16.65,16.06,0.59,0.0,0.06,0.53,0.0,0.0
